Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
1997,"Moeve La Rábida Energy Park (Huelva) - phase 1 - Andalusian Green Hydrogen Valley
ONUBA I Project (Together with THARSIS: LUXIA project)",ESP,2028.0,,Feasibility study,Other Electrolysis,ALK+PEM,Grid+Renewables,Solar PV,H2,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,400 MW,400.0,88889.0,69.3,88889.0,Huelva
2000,Danish nuclear in Indonesia,IDN,2028.0,,Concept,SOEC,,Nuclear,,H2,,1.0,,,,,,,,,,,,,1 GW,1000.0,263158.0,205.2,263158.0,Bontang
2001,Petrobrazi Refinery - Green H2,ROU,2028.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,1.0,,,,55 MW,55.0,12222.0,9.5,12222.0,Ploiești - Petrobrazi refinery
2002,ACWA Power - Green H2 - Phase 1 (Tashkent project),UZB,2025.0,,Operational,ALK,,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,,,,,,,,,,,20MW,20.0,4348.0,3.4,4348.0,Chirchiq 
2004,Hellenic Hydrogen in  Western Macedonia,GRC,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,,,,,,,,100MW,100.0,22222.0,17.3,22222.0,Random location in Western Macedonia
2005,Hycamite CSF Plant,FIN,2025.0,,FID/Construction,Other,Methane pyrolysis,,,H2,,,,,,,,,,,,,,,2 kt H2/y,,2565.0,2.0,2565.0,Kokkola
2010,Valle Peligna Green Hydrogen Project,ITA,2026.0,,Feasibility study,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,30MW,30.0,5769.0,4.5,5769.0,Castelvecchio Subequo
2015,Plug Power Kokkola plant,FIN,2030.0,,Feasibility study,PEM,,Grid,,Ammonia,,1.0,,,,,,,,,,,,,1GW,1000.0,192308.0,149.9,192308.0,Kokkola
2016,Plug Power Kristinestad plant,FIN,2030.0,,Feasibility study,PEM,,Grid,,H2,,,,1.0,,,,,,,,,,,1GW,1000.0,192308.0,149.9,192308.0,Kristinestad
2017,Plug Power Porvoo plant,FIN,2030.0,,Feasibility study,PEM,,Dedicated renewable,Others/Various,H2,,1.0,,1.0,,,,,,,,,,,200MW,200.0,38462.0,30.0,38462.0,Porvoo
2024,H2 PILLAR,ESP,2029.0,,Feasibility study,ALK,Unknown PtX,Grid+Renewables,Others/Various,H2,,,,,,1.0,,,,,,,,,"Phase I: 20MW
Phase II: up to 60 MW",20.0,4444.0,2.9,4444.0,El Burgo de Ebro
2027,Tree Energy Solutions (TES) - TotalEnergies TX plant (Live Oak),USA,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,,CH4,,,,,,,,,,,,,,,500 MW,500.0,111111.0,86.6,111111.0,Nebraska
2028,Energie Steiermark plant in Styria,AUT,2023.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,1MW,1.0,222.0,0.2,222.0,Styria
2030,Tierra del Fuego green hydrogen project,ARG,2031.0,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,55 t H2/d production,334.7,64373.0,50.0,64373.0,"Rio Grande, Tierra del Fuego"
2031,"Point Tupper green hydrogen project, phase 1",CAN,2026.0,,Feasibility study,PEM,,Grid+Renewables,,Ammonia,,1.0,,,,,,,,,,,,,0.2 Mt NH3/y production,343.2,65991.0,51.0,65991.0,Point Tupper port
2032,Greenb2e - Valencia,ESP,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,13-15 kt H2/y,80.8,17957.0,14.0,17957.0,Valencia
2033,"Besaya H2, phase 1",ESP,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,500MW,500.0,111111.0,86.6,111111.0,Torrelavega
2036,BotH2nia - Flexens Kokkola,FIN,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1.0,,,1.0,,,1.0,,,,,,,350MW,350.0,77778.0,60.6,77778.0,Kokkola
2037,Ord Hydrogen Project,AUS,2029.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,,,1.0,,,,,,,15-25 MW,20.0,4444.0,3.5,4444.0,Lake Argyle
2038,WAH2 Blue  Ammonia Project - phase 1,AUS,2028.0,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1.0,,,,,1.0,,,,,,,,250 kt NH3/y - 250000 t CO2/y,,57742.0,45.0,31344.0,Random regions in Pilbara region
2040,"Asian Renewable Energy Hub, completion",AUS,2036.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Various,,1.0,,,,,,,,,,,,,14000MW,14000.0,3111111.0,2426.0,3111111.0,Pilbara
2044,"Point Tupper green hydrogen project, phase 2",CAN,2028.0,,Concept,PEM,,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,,,,,,,,,,,1 Mt NH3/y production,2552.2,490807.0,383.0,490807.0,Point Tupper port
2046,ABEL Energy Townsville Powerfuels ,AUS,2029.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,1.0,,,,,,,,,300kt MeOH/y production,662.6,147243.0,115.0,147243.0,"Townsville, Queensland"
2049,H2 plant Wilbarger County,USA,2027.0,,Concept,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,200t H2/day production,973.8,187266.0,146.0,187266.0,"Wilbarger County, Texas"
2050,Hydrogen Power South Australia - Whyalla,AUS,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,1.0,,,,,,,,250 MW,250.0,55556.0,43.3,55556.0,Whyalla
2052,Xcel Energy's Minnesota nuclear plant,USA,2024.0,,DEMO,SOEC,,Nuclear,,H2,,,,,,,,,,,,,,,240 kW,0.24,63.0,0.0,63.0,"Welch, Minnesota"
2053,Porto Central,BRA,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,,,,,,,,,,300 t H2/y + 1700 t NH3/y,3.5,777.0,1.0,777.0,Porto Central
2055,Pembina low carbon complex,CAN,2028.0,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1.0,,,,,,,,,,,,,1Mt NH3/y,,230968.0,180.0,0.0,Canada's West Coast 
2056,"Moeve La Rábida Energy Park (Huelva) - phase 3 - Andalusian Green Hydrogen Valley
ONUBA II Project",ESP,2030.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,400 MW additional,400.0,88889.0,69.3,88889.0,Huelva
2058,TES- Green Energy Hub - Wilhelmshaven Port,DEU,2028.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,Unknown,H2,,,,,,,,,,,,,,,500MW,500.0,111111.0,86.6,111111.0,Wilhelmshaven
2059,Guelmim-Oued Noun - Chbika project - phase 1,MAR,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,400 Mwel,400.0,88889.0,69.3,88889.0,Random location in south of Morocco
2060,Madoqua E-methanol,PRT,2029.0,,Feasibility study,ALK,,Dedicated renewable,Unknown,MeOH,,,1.0,,,,,,,,,,,,500 MW - 260 ktpa e-methanol,500.0,108696.0,84.7,108696.0,Aveiro
2061,HIF Paysandu,URY,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,1.1GW,1000.0,222222.0,173.3,222222.0,Paysandu
2062,Iberdrola - Trammo green hydrogen ,ESP,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid+Renewables,Solar PV,Ammonia,,1.0,,,,,,,,,,,,,140MW or 100 kt NH3/y,140.0,31111.0,24.3,31111.0,Huelva
2064,Hygenco Demonstration Plant,IND,2022.0,,DEMO,ALK,,Dedicated renewable,Solar PV,H2,,,,,,,,1.0,,,,,,,100kW,0.1,22.0,0.0,22.0,Ujjain
2065,Hygenco JSL Plant,IND,2024.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,1.0,,,,,,,,,,,1.8 Mwel -78 t H2/y production,1.8,391.0,0.3,391.0,Haryana state 
2066,Exxonmobil Antwerp Refinery CCS,BEL,2030.0,,Feasibility study,Oil w CCUS,Unknown Technology,,,H2,1.0,,,,,,,,,,,,,,,,,,0.0,Exxonmobil Antwerp Refinery
2068,H2GE Rostock,DEU,2029.0,,Concept,NG w CCUS,Unknown Technology,,,H2,,,,1.0,1.0,,1.0,,,,,,,,1 GW H2 - 1.8 Gt CO2,,320225.0,249.7,225678.0,Rostock
2070,Prax Lindsey Oil Refinery Phase 2,GBR,2030.0,,Feasibility study,NG w CCUS,Unknown technology,,,H2,1.0,,,,,,,,,,,,,,0.55Mt CO2/y,,,,68957.0,Lindsey refinery
2072,Centrica Equinor hydrogen hub Easington collaboration,GBR,2029.0,,Feasibility study,Other,NG w CCUS+Electrolysis,,,H2,,,,,,,,,,,,,,,,,,,0.0,Easington
2074,Balikpapan Refinery,IDN,2030.0,,Feasibility study,NG w CCUS,SMR+CCUS,,,H2,1.0,,,,,,,,,,,,,,1.4 Mt CO2/y,,,,175527.0,Balikpapan Refinery
2076,Indian Oil Corporation Koyali refinery,IND,2030.0,,Feasibility study,NG w CCUS,SMR+CCUS,,,H2,1.0,,,,,,,,,,,,,,0.7Mt CO2/y (part for CCU),,,,43882.0,Koyali refinery
2077,ENI Venice bio-refinery Porto Marghera (Ravenna phase 2),ITA,2030.0,,Feasibility study,NG w CCUS,Unknown technology,,,H2,,,,,,,,,,,1.0,,,,0.15 - 0.2Mt CO2/y - 30000 Nm3 H2/h,,30000.0,23.4,25075.0,Porto Marghera
2078,Yara Sluiskil fertiliser,NLD,2026.0,,FID/Construction,NG w CCUS,,,,Ammonia,,1.0,,,,,,,,,,,,,0.8Mt CO2/y,,,,100301.0,Sluiskil
2080,Enbridge Ingleside Energy Center Low carbon ammonia (TX),USA,2029.0,,Feasibility study,NG w CCUS,ATR+CCUS,,,Ammonia,,1.0,,,,,,,,,,,,,1.2-1.4 Mt NH3/y,,300259.0,234.0,0.0,Ingleside Energy Center Projects
2082,Linde hydrogen plant for OCI fertilizer blue ammonia Beaumont (Texas),USA,2026.0,,FID/Construction,NG w CCUS,ATR+CCUS,,,Ammonia,,1.0,,,,,,,,,,,,,2.2Mt CO2/y - 1.1 Mt NH3/y,,254065.0,198.0,275828.0,Beaumont
2083,CF Industries  Yazoo City (MS) Low-Carbon Ammonia,USA,2028.0,,FID/Construction,NG w CCUS,SMR+CCUS,,,Ammonia,,1.0,,,,,,,,,,,,,0.5Mt CO2/y,,,,62688.0,Yazoo City
2084,"Ascension Clean Energy (ACE) complex (LA), phase 1",USA,2029.0,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1.0,,,,,,,,,,,,,3.8Mt CO2/y - 2.4 Mt NH3/y,,554324.0,432.0,476430.0,ASCENSION PARISH
2085,OCI Fertilizer plant phase 1 (IA),USA,2026.0,,FID/Construction,NG w CCUS,Unknown technology,,,Ammonia,,1.0,,,,,,,,,,,,,0.45Mt CO2/y - 0.6Mt NH3/y,,138581.0,108.0,56419.0,Iowa Fertilizer Company
2087,Lone Cypress Hydrogen project (CA),USA,2026.0,,Feasibility study,NG w CCUS,SMR+CCUS,,,H2,,,,,,,,,,,,,,,0.1Mt CO2/y - 65 t H2/d production,,33812.0,26.4,12538.0,"Elk Hills Field, Kern County"
2088,"Integratred clean ammonia production, Port of Corpus Christi (TX) phase 1",USA,2030.0,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1.0,,,,,,,,,,,,,,,,,0.0,Port of Corpus Christi
2096,Atome - La Villeta,PRY,2028.0,,Feasibility study,ALK,,Grid,,Ammonia,,1.0,,,,,,,,,,,,,145MW,145.0,31522.0,24.6,31522.0,Villeta
2097,Langage Energy Park - Carlton Power,GBR,2026.0,,FID/Construction,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,1.0,,,,,,,,,,7MW,7.0,1556.0,1.2,1556.0,Langage Energy Park 
2098,Pamesa - eCombustible,ESP,2023.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,,,,,,,,,,8MW,8.0,1778.0,1.4,1778.0,Onda (Castellón)
2099,"Pamesa - eCombustible, full replacement of natural gas",ESP,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,,,,,,,,,,,,,,0.0,Onda (Castellón)
2102,Freedom Pines Fuels,USA,2024.0,,Operational,PEM,,Dedicated renewable,Unknown,Synfuels,,,,,,,,,,,1.0,,,,2.5MW -  29 kt synfuel/y capacity,2.5,481.0,0.4,481.0,"Soperton, Georgia"
2104,First Ammonia Port of Victoria,USA,2026.0,,Concept,SOEC,,Dedicated renewable,Unknown,Ammonia,,1.0,,,,,,,,,,,,,100MW,100.0,26316.0,20.5,26316.0,Port of Victoria
2105,Hy2B plant in Pfeffenhausen,DEU,2024.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,5MWor 1.2t H2/d (production),5.0,1087.0,0.8,1087.0,Pfeffenhausen
2106,POSCO green ammonia plant,OMN,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1.0,,,,,,,,,,,,,220kt H2/y (production),2539.6,564363.0,440.0,564363.0,Port of Duqm
2109,MoU CWP - Ministry of Energy and Natural Resources ,DJI,2031.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,3GW,3000.0,666667.0,520.0,666667.0,Djibouti
2111,HyMed,ITA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,1GW,1000.0,222222.0,173.3,222222.0,Random location in Italian Coast
2113,Plant Zero.1,GBR,2023.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,Synfuels,,,,,,,,,,,,1.0,,,,0.0,,,0.0,Bicester
2114,Trecwn Green Energy Hub ,GBR,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,15MW,15.0,3333.0,2.6,3333.0,Pembrokeshire 
2116,Julio Verne project,ESP,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,1.4MW,1.4,311.0,0.2,311.0,Port of Vigo
2117,Lhyfe Delfzijl,NLD,2031.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,1.0,1.0,,1.0,,,,,,,,,,200MW,200.0,44444.0,34.7,44444.0,Delfzif
2118,"SGP BioEnergy biorefiney, phase 1",PAN,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,1.0,,,,135 kt H2/y (production),1558.4,346314.0,270.0,346314.0,Balboa
2119,"Smartenergy Porto Torres, phase 1",ITA,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,1.0,,,,1.0,,,,,,,1.0,,,20MW,20.0,4444.0,3.5,4444.0,Porto Torres
2120,"Smartenergy Porto Torres, phase 3",ITA,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,1.0,,,,1.0,,,,,,,1.0,,,200MW,180.0,40000.0,31.2,40000.0,Porto Torres
2121,Statkraft-Foresight Cheshire,GBR,2026.0,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,1.0,,,,,,,,,,30MW,30.0,5769.0,4.5,5769.0,Frodsham 
2122,Cobra Castellón,ESP,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,90MW,90.0,20000.0,15.6,20000.0,Castellón
2123,Cobra Cartagena,ESP,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,115MW,115.0,25556.0,19.9,25556.0,Cartagena
2124,Gente Grande project - TEG Chile Magallanes,CHL,2029.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,1.3-1.5 Mt NH3/y (production),3637.7,808389.0,630.0,808389.0,"Primavera, Magallanes"
2125,Jingneng Coal-to-Chemical Renewable Green Hydrogen Alternative Demostration Project,CHN,2028.0,,Feasibility study,ALK,,Dedicated renewable,Onshore wind,H2,,1.0,,,1.0,,,,,,,,,,26816 t H2/y,158.2,34395.0,27.0,34395.0,Xingan League
2126,"Jingneng Chagannur Wind Poer Hydrogen Production Project, phase 1",CHN,2023.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,384 t H2/y,2.3,493.0,0.4,493.0,Xilin Gol
2128,China Datang Duolun wind-solar hydrogen production demostration project,CHN,2025.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,14000 Nm3/h,63.0,14000.0,10.9,14000.0,"Xilin Gol, Inner mongolia"
2129,CHN Energy Wind-solar hydrogen ammonia  + Low-carbon parkdemostration Project,CHN,2026.0,,Feasibility study,Other Electrolysis,ALK+PEM,Dedicated renewable,Others/Various,Ammonia,,1.0,,,,,,,,,,,,,"26000 Nm3/h capacity , 16ktNH3/y",117.0,26000.0,20.3,26000.0,Alxa League
2130,Green Ammonia Linz – Decarbonizing Chemical Processes with Water Electrolysis (Gramli),AUT,2026.0,,Feasibility study,PEM,,Dedicated renewable,Others/Various,Ammonia,,1.0,,,,,,,,,,,,,60MW,60.0,11538.0,9.0,11538.0,Linz
2131,AES Brazil - Port of Pecem,BRA,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1.0,,,,,,,,,,,,,800 kt NH3/y (production),1663.0,369549.0,288.0,369549.0,Port of Pecem
2132,Yeosu Blue Hydrogen Project,KOR,2030.0,,Concept,NG w CCUS,Unknown technology,,,H2,,,,,,,,,,,,,,,"80000 t H2/y, capacity - 430 kt CO2/y",,10261.0,8.0,53912.0,Yeosu
2133,H2 - Jurong Island,SGP,2024.0,,Operational,ALK,,Other/Unknown,Unknown,H2,,,,,1.0,,,,,,,,,,9MW,9.0,1957.0,2.0,1957.0,Jurong Island
2134,"Carbon Governance  green hydrogen project, phase 1",IDN,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,30 t H2/d (production),210.7,46816.0,37.0,46816.0,Bintan 
2135,"Carbon Governance  green hydrogen project, phase 2",IDN,2028.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,60 t H2/d (production),210.7,46816.0,37.0,46816.0,Bintan 
2136,"Carbon Governance  green hydrogen project, phase 3",IDN,2033.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,115 t H2/d (production),386.2,85830.0,67.0,85830.0,Bintan 
2138,"Fortescue Future Industries - Windlab - Queensland hub, phase 1",AUS,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,,0.0,,,0.0,Random location in North Queensland
2142,ReNu - Countrywide Hydrogen - Anantara Energy Holdings MoU,IDN,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,,,,,,,,,,10MW,10.0,2222.0,1.7,2222.0,Karimun 
2144,"Clean Energy Holdings - Clear Fork, phase 1",USA,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,33 t/day (production),139.0,30899.0,24.1,30899.0,"Clear Fork, Texas"
2146,"MercurHy, phase 1",AUS,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,,,,,,,,150MW,150.0,33333.0,26.0,33333.0,Random location in Mid-West region of Western Australia
2147,"MercurHy, phase 2",AUS,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,,,,,,,,500MW,350.0,77778.0,60.6,77778.0,Random location in Mid-West region of Western Australia
2148,"MercurHy, phase 3",AUS,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,,,,,,,,1GW,500.0,111111.0,86.6,111111.0,Random location in Mid-West region of Western Australia
2149,Orsted - Skovgaard Energy project in western Denmark,DNK,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,150MW,150.0,33333.0,26.0,33333.0,Idomlund
2154,Blastr Green Steel - Inkoo,FIN,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,1.0,,,,,,,,,,,800 MW,800.0,177778.0,138.6,177778.0,Inkoo
2155," Liquid Wind, Flagship 3rd plant",SWE,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,100kt MeOH/y production,220.9,49081.0,38.0,49081.0,"Umea,Vasterbotten "
2156,Greenko ZeroC - Kakinada city ,IND,2027.0,,FID/Construction,ALK,,Grid+Renewables,Others/Various,Ammonia,,1.0,,,,,,,,,,,,,1.3GW,1300.0,282609.0,220.3,282609.0,Kakinada city
2157,Enap - Cabo Negro,CHL,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,1.0,,,,1.0,1.0,,,,,,,,,1MW,1.0,222.0,0.2,222.0,Cabo Negro
2158,Hydrogen Offshore Production Europe (HOPE),BEL,2026.0,,DEMO,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,10MW,10.0,1923.0,1.5,1923.0,port of Ostend
2159,Linde - Fort Saskatchewan ,CAN,2029.0,,FID/Construction,NG w CCUS,ATR+CCUS,,,H2,,,,,1.0,,,,,,,,,,1000 kt H2/y - 2Mt CO2/y,,1282643.0,1000.0,275828.0,Fort Saskatchewan
2160,Yara-BASF Gulf Coast,USA,2029.0,,Feasibility study,NG w CCUS,Unknown technology,,,Ammonia,,1.0,,,,,,,,,,,,,1.2-1.4 Mt NH3/y,,300259.0,234.0,0.0,Random location in Gulf Coast
2161,SSE Aldbrough storage site,GBR,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,1.0,,,,,,,,35MW,35.0,7778.0,6.1,7778.0,Aldbrough
2163,Kintore Scotland Hydrogen project - phase 1,GBR,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,1.0,,,,,,,500MW,500.0,111111.0,86.6,111111.0,"Kintore, Inverurie, UK"
2164,Kintore Scotland Hydrogen project - phase 2,GBR,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,1.0,,,,,,,3GW,2500.0,555556.0,433.1,555556.0,"Kintore, Inverurie, UK"
2166,Mauritania - Green Ammonia project - phase 1,MRT,2028.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,Ammonia,,1.0,,,,,,,,,,,,,"400MW or 0,28-0,3 Mt NH3 production",400.0,88889.0,69.3,88889.0,Nouakchott
2168,Rio Grande do Sul,BRA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,,,,,,,,,,,"483MW or 240,000 t/yr NH3",483.0,107333.0,83.7,107333.0,Rio Grande do Sul
2169,Alesund green hydrogen project - phase 1 - FjordH2,NOR,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,20MW,20.0,4444.0,3.5,4444.0,Alesund
2170,Alesund green hydrogen project - phase 2 - FjordH2,NOR,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,270MW,250.0,55556.0,43.3,55556.0,Alesund
2172,Valle H2 Navarra project,ESP,2026.0,,Feasibility study,PEM,,Grid+Renewables,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,"25MW, 5x5MW modular ",25.0,5000.0,3.8,5000.0,Sangüesa
2173,Saltend Chemicals Park - Hull - phase 1,GBR,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,100MW,100.0,22222.0,17.3,22222.0,"Hull, UK"
2179,Votalia - Taqa Arabia -phase 2 ,EGY,2032.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,1.0,,,,,,,,,,,,,1GW,500.0,111111.0,86.6,111111.0,Ain Sokhna port
2180,Nujio'qonik Green Hydrogen -phase 1,CAN,2031.0,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,,,1.0,1.0,,,,,,,650 MW - 400 kt ammonia/y production,650.0,125000.0,97.5,125000.0,"Stephenville, Canada"
2185,Nascar,ESP,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,MeOH,,,1.0,,,,,,,,,,,,7.2 kt H2/y (production),138.5,30783.0,24.0,30783.0,Tabernas
2187,Vientos Magallanicos,CHL,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,,,,,,,,,,,800MW,800.0,177778.0,138.6,177778.0,Laguna Blanca
2190,Eastern Cape MeOH plant,ZAF,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,120MW,120.0,26667.0,20.8,26667.0,Humansdorp
2191,Maersk - Ørsted methanol Gulf plant,USA,2028.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,675MW,675.0,150000.0,116.9,150000.0,Random location in Florida
2192,Maersk - Carbon Sink methanol plant,USA,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,MeOH,,,1.0,,,,,,,,,,,,100kt MeOH/y,220.9,49081.0,38.0,49081.0,Rosholt
2193,"H2 Emden Electrolyzer, phase 2",DEU,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,,,,,,,,,,200MW,190.0,42222.0,32.9,42222.0,Emden
2195,Element Resources - Lancaster,USA,2026.0,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,135MW,135.0,29348.0,22.9,29348.0,Lancaster
