Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
1045,"Dolphyn 1, phase 1",GBR,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,10MW,10.0,2222.0,1.7,2222.0,15 km Southeast Aberdeen
1046,"Dolphyn 1, phase 2",GBR,2032.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,,,,,,,,,,100MW,90.0,20000.0,15.6,20000.0,15 km Southeast Aberdeen
1048,"Humber H2ub (Green), phase 1",GBR,2029.0,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,1.0,,,,,,,,,,,,,,120 MW,120.0,23077.0,18.0,23077.0,Killingholme Power Station
1052,"Element One (Element Eins), phase 3",DEU,2028.0,,Feasibility study,ALK,,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,,,1.8 GWh H2/d production,232.817,50612.0,39.5,50612.0, East Frisia
1053,"Green Hydrogen Hub, phase 1","DEU
DNK",2027.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,300MW,,,,0.0,Hobro
1054,"Green Hydrogen Hub, phase 2","DEU
DNK",2031.0,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,1GW,,,,0.0,Hobro
1058,"Electrolyzers with ""network related function"" in Apulia - Phase 1",ITA,2026.0,,Concept,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,,,,,,,,,1.0,,90MW,90.0,20000.0,15.6,20000.0,Random location in Apulia
1059,Hydrogen injection into the gas network in Lithuania,LTU,2025.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,1.0,,,,,,,1MW,1.0,222.0,0.2,222.0,Random location Lithuania
1064,Vallée Hydrogène Grand Ouest (VHyGO) - Saint-Nazaire,FRA,2023.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,1.5MW,1.5,333.0,0.3,333.0,"Saint-Nazaire, Loire-Atlantique, Pays de la Loire, France"
1065,Vallée Hydrogène Grand Ouest (VHyGO) - Dieppe,FRA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,0.5 MW,0.5,111.0,0.1,111.0,"Dieppe, Seine-Maritime, Normandie, France"
